Time,lat,lon,ground_range,group_range,phase_path,geometric_path_length,initial_elev,final_elev,apogee,gnd_rng_to_apogee,plasma_freq_at_apogee,virtual_height,effective_range,total_absorption,deviative_absorption,TEC_path,Doppler_shift,Doppler_spread,FAI_backscatter_loss,frequency,nhops_attempted,ray_label,NRT_elapsed_time,Layer,Eclipse
2020-01-19T00:05,29.41564242,261.1605494,1370.667629,1395.455933,1392.100119,1393.763172,5.25,4.884787156,94.55345524,685.9996022,0.963104787,100.785152,909406.0814,12.49925417,0,1.02E+15,-0.006777053,0,0,5,1,1,0.001,E,0
2020-01-19T00:05,29.46271554,261.1381206,1365.014299,1389.844206,1386.470406,1388.142494,5.3,4.935487066,94.54696335,676.7987825,0.962642508,100.8308893,877322.7592,12.50377419,0,1.04E+15,-0.006915004,0,0,5,1,1,,E,0
2020-01-19T00:05,29.5103697,261.115392,1359.290686,1384.163327,1380.771188,1382.452101,5.35,4.988065002,94.5693788,673.8830181,0.964632432,100.8774704,885174.1329,12.50779666,0,1.04E+15,-0.006928946,0,0,5,1,1,,E,0
2020-01-19T00:05,29.55611793,261.0935505,1353.795514,1378.710036,1375.299695,1376.989491,5.4,5.037701297,94.59909736,680.2571475,0.967146103,100.9231135,919275.2271,12.51237136,0,1.04E+15,-0.006972491,0,0,5,1,1,,E,0
2020-01-19T00:05,29.60409466,261.070622,1348.032157,1372.990922,1369.561764,1371.260844,5.45,5.092752291,94.62274553,677.6122421,0.969227712,100.9704731,990264.5133,12.51668086,0,1.04E+15,-0.007015258,0,0,5,1,1,,E,0
2020-01-19T00:05,29.64776539,261.0497307,1342.785624,1367.786527,1364.338824,1366.047026,5.5,5.138954435,94.65599498,674.2912093,0.972139855,101.017078,878955.9957,12.52120027,0,1.05E+15,-0.00707209,0,0,5,1,1,,E,0
2020-01-19T00:05,29.44833328,261.1449757,1366.741614,1451.729553,1394.970452,1422.779972,14.75,14.07957544,152.7949361,678.3416382,1.631958026,211.6605726,1195432.723,12.14709152,0.453990147,1.69E+16,-0.215256946,0,0,5,1,1,0.002,F1,0
2020-01-19T00:05,29.48127623,261.1292709,1362.785084,1447.833656,1391.138474,1418.915485,14.8,14.12241925,152.9006788,675.4758297,1.634962345,211.580572,1163624.006,12.09817471,0.4509559,1.69E+16,-0.214826019,0,0,5,1,1,,F1,0
2020-01-19T00:05,29.52663214,261.1076303,1357.337332,1442.465941,1385.863637,1413.593086,14.85,14.18518713,153.0609357,671.4945216,1.639504894,211.4636398,1297353.297,12.02563212,0.449699548,1.69E+16,-0.214102557,0,0,5,1,1,,F1,0
2020-01-19T00:05,29.56093762,261.0912482,1353.216556,1438.41187,1381.87469,1409.570597,14.9,14.23055228,153.1655399,670.4498038,1.642316548,211.3828031,1208822.846,11.97229408,0.447892867,1.68E+16,-0.213568616,0,0,5,1,1,,F1,0
