Mode,Time UTC,Freq Hz
1E,13.9841526025239,1000.01198871671
1E,13.9325803124601,999.99557913351
1E,13.8891510155642,1000.01198871671
1E,13.8443645531404,999.966041883756
1E,13.8090782494125,1000.01198871671
1E,13.7765062767406,1000.02183446662
1E,13.7290054832607,1000.01527063335
1E,13.6855761863649,1000.01527063335
1E,13.6285752341891,1000.0283982999
1E,13.5824316062372,1000.01198871671
1E,13.5539311301493,1000.01198871671
1E,13.5118589987814,1000.01198871671
1E,13.4562152121336,1000.02183446662
1E,13.4155002462937,1000.01527063335
1E,13.3761424459819,1000.00214296679
1E,13.331355983558,999.998861050149
1E,13.2879266866622,1000.01527063335
1E,13.2200684102624,999.989015300232
1E,13.1929250997025,1000.00214296679
1E,13.1223524922467,999.992297216871
1E,13.0802803608788,999.99557913351
1E,13.0449940571509,999.99557913351
1E,13.013779250007,999.99557913351
2E,13.958366457492,1000.00214296679
2E,13.8660792015883,1000.03168021654
2E,13.8321500633884,999.94963230056
2E,13.7955065941325,1000.01527063335
2E,13.7208624900928,999.952914217199
2E,13.6638615379169,999.969323800396
2E,13.5824316062372,1000.00214296679
2E,13.5240734885334,1000.00542488343
2E,13.4711440329416,1000.00214296679
2E,13.4453578879096,999.982451466953
2E,13.4195717428777,999.989015300232
2E,13.3679994528139,1000.00214296679
2E,13.2662120382142,999.985733383592
2E,13.2187112447344,999.998861050149
2E,13.1997109273424,999.952914217199
2E,13.1657817891426,999.952914217199
2E,13.1304954854147,999.943068467281
2E,13.0952091816868,999.94963230056
2E,13.0707802021829,999.926658884085
2E,13.0449940571509,999.985733383592
1F,13.3625707907019,999.815073718348
1F,13.327284486974,999.782254551955
1F,13.3082841695821,999.726461969086
1F,13.2879266866622,999.772408802037
1F,13.2580690450463,999.733025802365
1F,13.2295685689583,999.759281135479
1F,13.2119254170944,999.713334302529
1F,13.1861392720625,999.687078969414
1F,13.1644246236146,999.667387469578
1F,13.1454243062226,999.628004469907
1F,13.1304954854147,999.575493803678
1F,13.1277811543587,999.552520387202
1F,13.1047093403828,999.559084220481
1F,13.0911376851028,999.582057636956
1F,13.0639943745429,999.601749136792
1F,13.0504227192629,999.568929970399
1F,13.013779250007,999.536110804006
1F,12.9988504291991,999.473754387859
1F,12.9662784565272,999.473754387859
1F,12.9377779804393,999.457344804662
1F,12.9092775043514,999.440935221466
1F,12.8780626972075,999.454062888023
1F,12.8604195453435,999.440935221466
1F,12.8604195453435,999.391706471876
1F,12.8495622211196,999.358887305483
1F,12.8414192279516,999.312940472532
1F,12.8237760760877,999.335913889007
1F,12.7979899310558,999.362169222122
1F,12.7722037860238,999.437653304826
1F,12.736917482296,999.549238470563
1F,12.7016311785681,999.621440636628
