Time,AUSTIN,BOULDER
2019-10-01 05:20:00+00:00,,
2019-10-01 05:40:00+00:00,,
2019-10-01 05:45:00+00:00,,
2019-10-01 06:00:00+00:00,,
2019-10-01 06:10:00+00:00,,
2019-10-01 06:15:00+00:00,,
2019-10-01 06:20:00+00:00,,
2019-10-01 06:25:00+00:00,,
2019-10-01 06:30:00+00:00,,
2019-10-01 06:35:00+00:00,,
2019-10-01 06:40:00+00:00,,
2019-10-01 06:45:00+00:00,,
2019-10-01 06:50:00+00:00,,
2019-10-01 06:55:00+00:00,,
2019-10-01 07:00:00+00:00,,
2019-10-01 07:05:00+00:00,,
2019-10-01 07:10:00+00:00,,
2019-10-01 07:20:00+00:00,,
2019-10-01 07:25:00+00:00,,
2019-10-01 07:30:00+00:00,,
2019-10-01 07:35:00+00:00,,
2019-10-01 07:40:00+00:00,,
2019-10-01 07:45:00+00:00,,
2019-10-01 07:50:00+00:00,,
2019-10-01 07:55:00+00:00,,
2019-10-01 08:00:00+00:00,,
2019-10-01 08:10:00+00:00,,
2019-10-01 08:20:00+00:00,,
2019-10-01 08:25:00+00:00,,
2019-10-01 08:30:00+00:00,,
2019-10-01 09:10:00+00:00,,
2019-10-01 09:45:00+00:00,,
2019-10-01 10:45:00+00:00,,
2019-10-01 11:15:00+00:00,,
2019-10-01 11:20:00+00:00,,
2019-10-01 11:30:00+00:00,,
2019-10-01 11:40:00+00:00,,
2019-10-01 11:50:00+00:00,,
2019-10-01 11:55:00+00:00,,
2019-10-01 12:00:00+00:00,,
2019-10-01 12:05:00+00:00,,
2019-10-01 12:10:00+00:00,,
2019-10-01 12:15:00+00:00,,
2019-10-01 12:20:00+00:00,,
2019-10-01 12:25:00+00:00,,
2019-10-01 12:40:00+00:00,,
2019-10-01 12:45:00+00:00,,
2019-10-01 12:50:00+00:00,,
2019-10-01 12:55:00+00:00,,
2019-10-01 13:05:00+00:00,,
2019-10-01 13:10:00+00:00,,
2019-10-01 13:15:00+00:00,,
2019-10-01 13:20:00+00:00,,
2019-10-01 13:25:00+00:00,,
2019-10-01 13:30:00+00:00,,
2019-10-01 13:35:00+00:00,,
2019-10-01 13:40:00+00:00,,
2019-10-01 13:45:00+00:00,,
2019-10-01 13:50:00+00:00,,
2019-10-01 13:55:00+00:00,,
2019-10-01 14:00:00+00:00,,
2019-10-01 14:05:00+00:00,,
2019-10-01 14:10:00+00:00,,
2019-10-01 14:15:00+00:00,,
2019-10-01 14:20:00+00:00,,
2019-10-01 14:25:00+00:00,,
2019-10-01 14:30:00+00:00,,
2019-10-01 14:35:00+00:00,,
2019-10-01 14:40:00+00:00,,
2019-10-01 14:45:00+00:00,,
2019-10-01 14:50:00+00:00,,
2019-10-01 15:00:00+00:00,,
2019-10-01 15:05:00+00:00,,
2019-10-01 15:10:00+00:00,,
2019-10-01 14:15:05+00:00,199.2,
2019-10-01 14:30:05+00:00,191.2,
2019-10-01 14:35:05+00:00,179.0,189.3
2019-10-01 14:40:05+00:00,196.6,
2019-10-01 14:45:05+00:00,213.4,186.8
2019-10-01 14:50:05+00:00,197.7,184.8
2019-10-01 14:55:05+00:00,183.7,182.8
2019-10-01 15:00:05+00:00,195.9,177.8
2019-10-01 15:05:05+00:00,196.9,
2019-10-01 15:10:05+00:00,183.0,200.2
2019-10-01 15:15:05+00:00,186.5,189.7
2019-10-01 15:20:05+00:00,172.4,192.9
2019-10-01 15:25:05+00:00,179.7,183.1
2019-10-01 15:30:05+00:00,219.7,187.3
2019-10-01 15:35:05+00:00,180.2,185.5
2019-10-01 15:40:05+00:00,168.2,187.4
2019-10-01 15:45:05+00:00,159.5,204.8
2019-10-01 15:50:05+00:00,161.0,176.8
2019-10-01 15:55:05+00:00,178.4,185.1
2019-10-01 16:00:05+00:00,173.7,179.9
2019-10-01 16:05:05+00:00,176.7,179.5
2019-10-01 16:10:05+00:00,176.7,187.7
2019-10-01 16:15:05+00:00,184.6,176.8
2019-10-01 16:20:05+00:00,172.4,172.4
2019-10-01 16:35:05+00:00,171.0,168.5
2019-10-01 16:40:05+00:00,173.1,173.4
